OMP_NUM_THREADS,Execution_Time
1,0.219504
2,0.219311
3,0.218912
4,0.218918
5,0.219179
6,0.219570
7,0.220062
8,0.218779
9,0.218708
10,0.219885
11,0.219162
12,0.219402
13,0.219276
14,0.218323
15,0.218398
16,0.218827
17,0.219370
18,0.218988
19,0.219928
20,0.220681
21,0.220448
22,0.221319
23,0.221136
24,0.220055
