OMP_NUM_THREADS,Execution_Time
1,0.236709
2,0.141825
3,0.110065
4,0.094112
5,0.083113
6,0.075675
7,0.068663
8,0.063769
9,0.059501
10,0.055855
11,0.052728
12,0.050006
13,0.050172
14,0.050773
15,0.050413
16,0.050227
17,0.049763
18,0.049524
19,0.049398
20,0.048691
21,0.048533
22,0.048074
23,0.048243
24,0.050764
